"orig","dest","sov","hov2","hov3","bike","walk"
1,1,20.7373909610223,22.8111300571245,23.8479996051756,31.1060864415334,31.1060864415334
2,1,22.8736284493536,25.160991294289,26.3046727167567,34.3104426740304,34.3104426740304
3,1,27.8625031743151,30.6487534917466,32.0418786504624,41.7937547614727,41.7937547614727
4,1,26.7815450364179,29.4596995400597,30.7987767918805,40.1723175546268,40.1723175546268
5,1,15.6534663576316,17.2188129933948,18.0014863112764,23.4801995364475,23.4801995364475
6,1,20.5498989532269,22.6048888485495,23.6323837962109,30.8248484298403,30.8248484298403
7,1,23.0550445930701,25.3605490523771,26.5133012820306,34.5825668896052,34.5825668896052
8,1,14.3285416744973,15.7613958419471,16.4778229256719,21.492812511746,21.492812511746
9,1,18.5908632763848,20.4499496040233,21.3794927678426,27.8862949145773,27.8862949145773
10,1,23.9917818035455,26.3909599839001,27.5905490740774,35.9876727053183,35.9876727053183
11,1,18.0434211164404,19.8477632280844,20.7499342839064,27.0651316746606,27.0651316746606
12,1,19.0141778655703,20.9155956521273,21.8663045454058,28.5212667983554,28.5212667983554
13,1,17.8858837854005,19.6744721639405,20.5687663532105,26.8288256781007,26.8288256781007
14,1,20.3575159479607,22.3932675427567,23.4111433401548,30.536273921941,30.536273921941
15,1,18.225169520201,20.0476864722211,20.9589449482312,27.3377542803015,27.3377542803015
16,1,21.6869890040096,23.8556879044106,24.9400373546111,32.5304835060144,32.5304835060144
17,1,25.3790659830209,27.9169725813229,29.185925880474,38.0685989745313,38.0685989745313
18,1,24.1512364636435,26.5663601100079,27.7739219331901,36.2268546954653,36.2268546954653
19,1,26.1418733196659,28.7560606516325,30.0631543176158,39.2128099794989,39.2128099794989
20,1,11.7749703480571,12.9524673828628,13.5412159002657,17.6624555220856,17.6624555220856
21,1,25.4970672598315,28.0467739858146,29.3216273488062,38.2456008897472,38.2456008897472
22,1,22.7765521178636,25.05420732965,26.1930349355431,34.1648281767954,34.1648281767954
23,1,19.4029101889717,21.3432012078689,22.3133467173175,29.1043652834575,29.1043652834575
24,1,12.633541346045,13.8968954806496,14.5285725479518,18.9503120190676,18.9503120190676
25,1,27.3222361334206,30.0544597467626,31.4205715534337,40.9833542001309,40.9833542001309
26,1,20.2306435540787,22.2537079094865,23.2652400871905,30.345965331118,30.345965331118
27,1,13.2107997478537,14.5318797226391,15.1924197100318,19.8161996217806,19.8161996217806
28,1,24.1429085803668,26.5571994384035,27.7643448674218,36.2143628705502,36.2143628705502
29,1,18.7164325719521,20.5880758291473,21.5238974577449,28.0746488579281,28.0746488579281
30,1,23.2226123538872,25.5448735892759,26.7060042069703,34.8339185308308,34.8339185308308
31,1,21.1836159470677,23.3019775417745,24.3611583391279,31.7754239206016,31.7754239206016
32,1,16.7018642702836,18.3720506973119,19.2071439108261,25.0527964054253,25.0527964054253
33,1,24.4081243280649,26.8489367608714,28.0693429772746,36.6121864920973,36.6121864920973
34,1,20.4315565549256,22.4747122104182,23.4962900381644,30.6473348323884,30.6473348323884
35,1,17.0010629500987,18.7011692451086,19.5512223926135,25.501594425148,25.501594425148
36,1,18.7891803595623,20.6680983955185,21.6075574134967,28.1837705393435,28.1837705393435
37,1,19.3705167039149,21.3075683743064,22.2760942095021,29.0557750558723,29.0557750558723
38,1,25.3278670627557,27.8606537690313,29.1270471221691,37.9918005941336,37.9918005941336
39,1,18.2494103677989,20.0743514045788,20.9868219229687,27.3741155516983,27.3741155516983
40,1,20.282810316066,22.3110913476727,23.3252318634759,30.4242154740991,30.4242154740991
41,1,20.0198709478143,22.0218580425957,23.0228515899864,30.0298064217214,30.0298064217214
42,1,27.045454233364,29.7499996567004,31.1022723683686,40.5681813500461,40.5681813500461
43,1,31.1526765738813,34.2679442312694,35.8255780599635,46.7290148608219,46.7290148608219
44,1,18.9028164640235,20.7930981104259,21.738238933627,28.3542246960353,28.3542246960353
45,1,15.095394884938,16.6049343734318,17.3597041176787,22.643092327407,22.643092327407
46,1,20.551940674656,22.6071347421216,23.6347317758544,30.827911011984,30.827911011984
47,1,28.7084656530488,31.5793122183536,33.0147355010061,43.0626984795731,43.0626984795731
48,1,28.3014882607894,31.1316370868683,32.5467114999078,42.4522323911841,42.4522323911841
49,1,20.9583245363645,23.0541569900009,24.1020732168192,31.4374868045467,31.4374868045467
50,1,15.2243144963389,16.7467459459728,17.5079616707898,22.8364717445084,22.8364717445084
1,2,13.9010192664115,15.2911211930527,15.9861721563732,20.8515288996173,20.8515288996173
2,2,16.8596558781856,18.5456214660041,19.3886042599134,25.2894838172783,25.2894838172783
3,2,19.1541298486196,21.0695428334815,22.0272493259125,28.7311947729294,28.7311947729294
4,2,17.6356713988108,19.3992385386919,20.2810221086324,26.4535070982162,26.4535070982162
